sample_id	Factor1	Factor2	Factor3	Factor4	Factor5	source_dataset	upstream_baseline	analysis_method
AAA	-1.5900077845593055	2.2324295228876903	0.5018789460137792	-1.0816356935454159	3.2036153504411335	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAD	-1.403101529883181	-1.03503328239743	0.4138690007961378	0.8931246969425024	0.09369901474182124	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAG	0.29023732578946	-3.1693810579772737	2.6461954468924995	2.0272957747554767	-3.4641863826832693	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAH	0.3722298341136132	-3.504730894052175	-2.3981302856156113	1.329426722789124	-3.060392902708929	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAI	-1.2263190966562503	1.1977229360611357	-1.1768738862284869	-3.450845653947128	1.0927137171964887	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAK	2.089406638694902	-3.250521855501293	0.004975878304163548	-1.0023318906601368	-1.728891407600153	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAL	1.0800191294393844	-0.3350471534180692	-1.8459699431246934	3.178266082028852	0.5717685147007675	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAM	1.487477073797136	-0.738363162624499	-5.096250880711568	2.9658864770617885	1.538263758733714	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAP	0.4289173661614568	-0.9616489792128706	-3.9967540792650254	3.7797110715363917	-1.3328331540522431	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAQ	0.9189613395898656	-2.1216301620304843	-1.4011100753987256	0.4654555914783065	-2.6173039194823002	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAR	1.7964355781391546	-3.614424193959032	-2.564902540064204	1.3791738126625679	1.5907707984960444	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAS	0.9623239480346465	-0.0011616273226132817	-0.9135983165557336	0.33213341698379756	-2.403674069946655	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAT	0.677198834066823	-2.9405883333107936	1.6483321805724642	0.5456749118261348	-2.5876738531593633	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
AAV	1.1406082385495413	0.7254804799664413	0.31329230762708776	0.10230094799710995	-2.256251168719084	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABA	0.8174850408258634	-0.48827446711874417	-1.8952228430003089	0.32170459385619016	-2.3699137944954356	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABB	-3.938357070442393	0.8267997890213343	0.9864635926463691	0.6034851206681258	-0.733875651658017	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABC	-0.396048178188143	-3.218163619989505	1.1210653341195427	3.5253161799622	-2.0727885338310443	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABD	0.4603762815048988	-2.3222209576492987	1.8238722811748045	1.0115176628751765	-2.605925538803537	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABF	0.05994694462509364	-2.3019802652603754	0.21044302145382943	3.1326325760654377	0.00583978220007267	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABG	1.1421170058517105	2.0227753831841664	-0.8749599617726803	0.4766576588841134	-2.5082264875623883	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABH	0.6369142329752817	0.884214104176471	2.439830324762412	0.47503391667547024	-2.4664022290661274	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABI	-0.1155609422376616	-2.4758410398118906	3.6778304731116274	2.1946384055888	-3.6702395521714095	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABK	-2.676422661343255	1.7205250851926426	1.1547239720908118	-0.09023778996410826	-0.9082566752769885	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABL	-2.850428218764987	-3.211792662820507	-1.2071029239482296	-0.8924570140527122	-0.4037921172349326	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABM	1.817843485698949	-3.4721402474760112	-1.2028652078062188	1.5984536003915952	1.3605997025102088	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABP	1.9148279583142036	-1.1025485269349296	0.8791342025950766	-0.8656390071557286	-1.858510294567928	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABQ	1.8859691217429329	0.004605431351105915	-0.243696035044096	-1.9392100951584441	-0.9505858672741584	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABR	2.067416287788418	0.055551210549051454	-1.2406012703365499	-1.9007078782244493	-1.0818262112304573	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABS	2.13156356275759	2.238409625144466	-1.5110730401676298	-1.8519350966704768	-1.0760786757387673	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABT	1.7162819700388834	-0.7075596763372977	0.7688694679451981	0.6177563476595271	1.3806532919442926	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ABV	0.33843375168336337	2.560210640817264	-2.406501282100457	2.7802550449384107	-0.11476117594700774	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACA	1.1908509363691668	-1.1308336656612525	0.3435953523855196	0.22863294979194634	-0.685475166045959	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACB	1.4474960265423855	-2.3646088043918705	-0.3079118605837597	-1.0118206260067386	-1.5614910520565488	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACC	-1.2865167417831653	-0.825146417696184	2.4719119202299766	0.11069904232401753	-0.3031999740655566	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACD	-2.879674360714272	-1.0018613249125552	2.627062518491643	-1.0625373130043017	-0.40936378005981	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACF	1.9917341707824112	-2.8066709411681976	1.1778134192601823	-1.3253296291100052	-1.5923691551499193	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACG	0.292245496337008	1.5985766042540692	2.6210732497359945	2.5200761737914052	-3.9595522060352257	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACH	0.2041789976998093	-0.4959531793925438	2.6575083714177437	2.2235171051848046	-3.7832684136499872	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACI	0.7004699788513574	-2.983584588645133	1.5321054723838372	1.9281385832105655	-3.713359293926134	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACK	-3.651554051694581	0.14071859388033917	0.6575997360784949	0.03881870359399667	-0.8738994882831852	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACL	-1.9412520446339525	-3.882395816543205	-3.397320555069365	-1.2615655715133158	-0.44780642894079487	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACM	-3.495804360676188	2.6841370312625656	-1.2853000520278763	0.1672695972785129	-0.8694471492391239	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACN	1.7586266035373375	-2.3943944513820754	-0.5907249481374551	-0.9417229089314697	-1.6647951672966559	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACP	2.1432396456484657	0.36136894276944576	-2.0943906918674156	-1.5331747688564488	-0.9562094533751452	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
ACQ	-1.4821459141821856	-1.3546931724569053	0.9161763813611606	-0.5268982657625252	-1.0462618695034085	PXD044523_Zenodo_author_processed_RNA_protein	micro_pilot_processing_20260730:v1.0.0	MOFA2_unsupervised_gaussian_two_view
