feature_id	module_label	module_color
X40-augustus_masked-3-ALIPLA_SA	3	brown
X42-augustus_masked-3-ALIPLA_SA	3	brown
X39-augustus_masked-2-CGIPLA_MA	3	brown
X38-augustus_masked-2-CGIPLA_MA	3	brown
X41-augustus_masked-3-ALIPLA_SA	3	brown
X43-snap_masked-3-ALIPLA_SA	3	brown
X1704-snap_masked-CPD_4-13463	0	grey
X37-augustus_masked-2-CGIPLA_MA	3	brown
X876-augustus_masked-YCC-11519	3	brown
YOR382W	1	turquoise
YHR054W-A	0	grey
YOR383C	0	grey
X875-augustus_masked-YCC-11519	0	grey
X36-augustus_masked-2-CGIPLA_MA	3	brown
X13-EC1118_1N26_0012g	0	grey
X1446-maker-CDM_4-7429	3	brown
X47-RTM1-R-14851-	2	blue
YIR042C	0	grey
X15-EC1118_1N26_0034g	0	grey
X144-augustus_masked-182-ABQ_6	0	grey
X14-EC1118_1N26_0023g	0	grey
X17-EC1118_1N26_0056g	0	grey
YAR070C	0	grey
X20-EC1118_1O4_6502g_NumOfGenes_2	0	grey
YPL187W	0	grey
X252-augustus_masked-516-ADN_4	3	brown
YNR074C	0	grey
X23-EC1118_1O4_6546g	0	grey
X1532-maker-CCR_1-6225	0	grey
YIL082W	0	grey
YIR019C	0	grey
X16-EC1118_1N26_0045g	0	grey
X649-snap_masked-5079-CKG_4	0	grey
X932-augustus_masked-BAP_7-7168	3	brown
YOL155W-A	0	grey
YGR234W	0	grey
X26-EC1118_1O4_6579g	0	grey
YBR299W	2	blue
X1033-augustus_masked-BCH_5-11150	0	grey
X28-EC1118_1O4_6623g	0	grey
YNR075C-A	0	grey
YGR292W	2	blue
YOL159C-A	0	grey
YNL145W	0	grey
X172-augustus_masked-253-BFM_3	2	blue
YHR214W-A	0	grey
YAR068W	0	grey
YNR075W	0	grey
X1032-augustus_masked-BCH_5-11150	0	grey
X209-augustus_masked-310-ALB_3	0	grey
X77-augustus_masked-11963-BDM_5	0	grey
X19-EC1118_1O4_6491g	0	grey
X1284-augustus_masked-APC_4-8186	0	grey
YOR385W	0	grey
X160-augustus_masked-223-BFM_3	3	brown
YLR156C-A	1	turquoise
YLR159C-A	1	turquoise
YOL158C	0	grey
YGL255W	1	turquoise
X906-augustus_masked-BIL_3-4712	0	grey
X930-augustus_masked-ADV_4-6333	0	grey
YBR301W	0	grey
