feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	ECOLI-B36-RPMI
PROT:WP_000002542.1	WP_000002542.1	EW036_RS06795	lepB	signal peptidase I	0.0004998375	lepB — signal peptidase I	search FASTA description + reference GFF	29.33255005284424
PROT:WP_000002953.1	WP_000002953.1	EW036_RS22610	rraB	ribonuclease E inhibitor RraB	0.0004998375	rraB — ribonuclease E inhibitor RraB	search FASTA description + reference GFF	29.74143689058368
PROT:WP_000003071.1	WP_000003071.1	EW036_RS05240	lysS	lysine--tRNA ligase	0.0004998375	lysS — lysine--tRNA ligase	search FASTA description + reference GFF	33.17058959136384
PROT:WP_000003317.1	WP_000003317.1	EW036_RS07025	rlmN	bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN	0.0004998375	rlmN — bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN	search FASTA description + reference GFF	25.64604339043228
PROT:WP_000003382.1	WP_000003382.1	EW036_RS00895	secB	protein-export chaperone SecB	0.0004998375	secB — protein-export chaperone SecB	search FASTA description + reference GFF	32.24618355941829
PROT:WP_000003638.1	WP_000003638.1	EW036_RS08900	hyaD	hydrogenase 1 maturation protease	0.0004998375	hyaD — hydrogenase 1 maturation protease	search FASTA description + reference GFF	28.09182909219137
PROT:WP_000003806.1	WP_000003806.1	EW036_RS23285	lysS	lysine--tRNA ligase	0.0004998375	lysS — lysine--tRNA ligase	search FASTA description + reference GFF	33.384047960680526
PROT:WP_000003820.1	WP_000003820.1	EW036_RS20870	aceE	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	0.0004998375	aceE — pyruvate dehydrogenase (acetyl-transferring), homodimeric type	search FASTA description + reference GFF	36.04977227830855
PROT:WP_000004202.1	WP_000004202.1	EW036_RS17905		FadR/GntR family transcriptional regulator	0.0004998375	EW036_RS17905 — FadR/GntR family transcriptional regulator	search FASTA description + reference GFF	26.02200891821913
PROT:WP_000004421.1	WP_000004421.1	EW036_RS02570	fmt	methionyl-tRNA formyltransferase	0.0004998375	fmt — methionyl-tRNA formyltransferase	search FASTA description + reference GFF	30.45805734819199
PROT:WP_000004487.1	WP_000004487.1	EW036_RS03045	mlaB	lipid asymmetry maintenance protein MlaB	0.0004998375	mlaB — lipid asymmetry maintenance protein MlaB	search FASTA description + reference GFF	27.314966155226543
PROT:WP_000004655.1	WP_000004655.1	EW036_RS21360	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase	0.0004998375	fkpB — FKBP-type peptidyl-prolyl cis-trans isomerase	search FASTA description + reference GFF	24.98485232697021
PROT:WP_000004771.1	WP_000004771.1	EW036_RS23140	epmA	elongation factor P--(R)-beta-lysine ligase	0.0004998375	epmA — elongation factor P--(R)-beta-lysine ligase	search FASTA description + reference GFF	26.217617726750092
PROT:WP_000005712.1	WP_000005712.1	EW036_RS02610	yrdA	gamma carbonic anhydrase family protein	0.0004998375	yrdA — gamma carbonic anhydrase family protein	search FASTA description + reference GFF	30.023986918738103
PROT:WP_000006608.1	WP_000006608.1	EW036_RS25305	wecC	UDP-N-acetyl-D-mannosamine dehydrogenase	0.0004998375	wecC — UDP-N-acetyl-D-mannosamine dehydrogenase	search FASTA description + reference GFF	27.54691275107152
PROT:WP_000006816.1	WP_000006816.1	EW036_RS19295	dxs	1-deoxy-D-xylulose-5-phosphate synthase	0.0004998375	dxs — 1-deoxy-D-xylulose-5-phosphate synthase	search FASTA description + reference GFF	30.52800229612038
PROT:WP_000007091.1	WP_000007091.1	EW036_RS17460	rhlE	ATP-dependent RNA helicase RhlE	0.0004998375	rhlE — ATP-dependent RNA helicase RhlE	search FASTA description + reference GFF	26.997963532271672
PROT:WP_000007273.1	WP_000007273.1	EW036_RS12555	sodB	superoxide dismutase [Fe]	0.0004998375	sodB — superoxide dismutase [Fe]	search FASTA description + reference GFF	34.97068397749448
PROT:WP_000007629.1	WP_000007629.1	EW036_RS19360	yajC	preprotein translocase subunit YajC	0.0004998375	yajC — preprotein translocase subunit YajC	search FASTA description + reference GFF	31.370366863374944
PROT:WP_000010096.1	WP_000010096.1	EW036_RS13360	rlmA	23S rRNA (guanine(745)-N(1))-methyltransferase	0.0004998375	rlmA — 23S rRNA (guanine(745)-N(1))-methyltransferase	search FASTA description + reference GFF	25.919052175442456
PROT:WP_000010727.1	WP_000010727.1	EW036_RS06255	norR	nitric oxide reductase transcriptional regulator NorR	0.0006709266	norR — nitric oxide reductase transcriptional regulator NorR	search FASTA description + reference GFF	26.029875420500492
PROT:WP_000011610.1	WP_000011610.1	EW036_RS08645	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	0.0004998375	kdsB — 3-deoxy-manno-octulosonate cytidylyltransferase	search FASTA description + reference GFF	31.709984911419937
PROT:WP_000012638.1	WP_000012638.1	EW036_RS08215	arnB	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	0.0004998375	arnB — UDP-4-amino-4-deoxy-L-arabinose aminotransferase	search FASTA description + reference GFF	29.198432299117457
PROT:WP_000013046.1	WP_000013046.1	EW036_RS22650	pyrB	aspartate carbamoyltransferase	0.0004998375	pyrB — aspartate carbamoyltransferase	search FASTA description + reference GFF	32.26347962707544
PROT:WP_000013152.1	WP_000013152.1	EW036_RS03980	dkgA	2,5-didehydrogluconate reductase DkgA	0.0004998375	dkgA — 2,5-didehydrogluconate reductase DkgA	search FASTA description + reference GFF	33.778322685748186
PROT:WP_000013499.1	WP_000013499.1	EW036_RS16235	napH	quinol dehydrogenase ferredoxin subunit NapH	0.0004998375	napH — quinol dehydrogenase ferredoxin subunit NapH	search FASTA description + reference GFF	25.275918451432897
PROT:WP_000013977.1	WP_000013977.1	EW036_RS01185	bisC	biotin sulfoxide reductase	0.0004998375	bisC — biotin sulfoxide reductase	search FASTA description + reference GFF	26.01946991847647
PROT:WP_000014031.1	WP_000014031.1	EW036_RS12275	pntB	Re/Si-specific NAD(P)(+) transhydrogenase subunit beta	0.0004998375	pntB — Re/Si-specific NAD(P)(+) transhydrogenase subunit beta	search FASTA description + reference GFF	30.002109258912792
PROT:WP_000014594.1	WP_000014594.1	EW036_RS01160	cspE	transcription antiterminator/RNA stability regulator CspE	0.0004998375	cspE — transcription antiterminator/RNA stability regulator CspE	search FASTA description + reference GFF	31.589679727551054
PROT:WP_000015482.1	WP_000015482.1	EW036_RS06125	ygbA	nitrous oxide-stimulated promoter family protein	0.006186095	ygbA — nitrous oxide-stimulated promoter family protein	search FASTA description + reference GFF	23.820039506962804
PROT:WP_000016567.1	WP_000016567.1	EW036_RS21020	murG	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	0.0004998375	murG — undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	search FASTA description + reference GFF	28.76443284161175
PROT:WP_000016907.1	WP_000016907.1	EW036_RS05525	amiC	N-acetylmuramoyl-L-alanine amidase AmiC	0.0004998375	amiC — N-acetylmuramoyl-L-alanine amidase AmiC	search FASTA description + reference GFF	25.51610681337127
PROT:WP_000017111.1	WP_000017111.1	EW036_RS04915	ruvX	Holliday junction resolvase RuvX	0.0004998375	ruvX — Holliday junction resolvase RuvX	search FASTA description + reference GFF	26.221158181113218
PROT:WP_000017999.1	WP_000017999.1	EW036_RS03620	nfeR	DNA-binding transcriptional regulator NfeR	0.0004998375	nfeR — DNA-binding transcriptional regulator NfeR	search FASTA description + reference GFF	26.926251811721947
PROT:WP_000018588.1	WP_000018588.1	EW036_RS12825	pheS	phenylalanine--tRNA ligase subunit alpha	0.0004998375	pheS — phenylalanine--tRNA ligase subunit alpha	search FASTA description + reference GFF	32.004845718940935
PROT:WP_000018631.1	WP_000018631.1	EW036_RS11765	ydcY	DUF2526 family protein YdcY	0.0004998375	ydcY — DUF2526 family protein YdcY	search FASTA description + reference GFF	24.333527143358364
