reported_result_id	study_accession	source_sample_id	showcase_sample_id	metabolite_name	reported_abundance	source_identification_label	database_identifier	chemical_formula	smiles	inchi	pubchem_id	kegg_id	hmdb_id	method	is_internal_standard	result_layer	mapping_to_reprocessed_feature	annotation_source
MTBLS2015:ROW:0002	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	13C2-Myristic acid	2745247	ITSD									True	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0003	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	13C5,15N1-Valine	306504	ITSD									True	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0004	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	13C6-Sorbitol	1009794	ITSD									True	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0005	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Betaine	6146991	Betaine	CHEBI:17750	C5H11NO2	C[N+](C)(C)CC([O-])=O	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0006	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Stearic acid	4260780	Stearic acid	CHEBI:28842	C18H36O2	C(CCCCCCCCCC)CCCCCCC(=O)O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0007	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	PE(14:0/14:0)	167486	PE(14:0/14:0)	CHEBI:167592	C33H66NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[NH3+])(=O)[O-]						False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0008	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Deoxyadenosine monophosphate	176967	Deoxyadenosine monophosphate	CHEBI:17713	C10H14N5O6P	Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0009	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	L-Alloisoleucine	10061216	L-Alloisoleucine	CHEBI:43433	C6H13NO2	CC[C@@H](C)[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5+/m1/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0010	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	L-Valine	17792478	L-Valine	CHEBI:16414	C5H11NO2	CC(C)[C@H](N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0011	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	L-Isoleucine	4570166	L-Isoleucine	CHEBI:17191	C6H13NO2	OC([C@H]([C@H](CC)C)N)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
