feature_id	YEAST-CENPK-LOWGROWTH
MET:FEATURE:positive:694.0321:13.31	1824458.39571265
MET:FEATURE:positive:115.1233:4.16	359535.157404575
MET:FEATURE:positive:115.1233:14.01	334580.364889884
MET:FEATURE:positive:625.1150:18.29	186446.788589453
MET:FEATURE:positive:653.1459:18.10	179880.967908866
MET:FEATURE:positive:406.0126:18.47	324924.550664882
MET:FEATURE:positive:661.0009:18.29	208303.837627004
MET:FEATURE:positive:401.0609:18.29	326436.447801561
MET:FEATURE:positive:584.0890:18.47	1180610.78249048
MET:FEATURE:positive:422.0357:18.47	419379.76930288
MET:FEATURE:positive:139.2874:18.94	49348.965772278
MET:FEATURE:positive:276.0558:19.41	77740.1158094829
MET:FEATURE:positive:308.9141:19.15	75406.2022764979
MET:FEATURE:positive:380.1313:18.94	230929.330319486
MET:FEATURE:positive:608.0889:18.29	5157746.66820265
MET:FEATURE:positive:204.1065:18.94	359819.525266759
MET:FEATURE:positive:246.1563:19.41	70413.4264780716
MET:FEATURE:positive:331.0435:19.15	129463.98014833
MET:FEATURE:positive:346.0097:19.60	63576.6542281492
MET:FEATURE:positive:138.0660:19.15	95965.9094843419
MET:FEATURE:positive:192.0057:19.60	151461.769002912
MET:FEATURE:positive:227.0661:19.60	114504.941530016
MET:FEATURE:positive:320.1107:19.60	63614.6224371924
MET:FEATURE:positive:336.0773:19.15	1071698.82741269
MET:FEATURE:positive:337.0782:19.15	287895.258164715
MET:FEATURE:positive:609.0919:18.29	1027922.86137394
MET:FEATURE:positive:183.0053:20.04	82399.6932563642
MET:FEATURE:positive:185.6733:19.60	239391.314123662
MET:FEATURE:positive:187.1261:18.29	209983.930643468
MET:FEATURE:positive:204.0667:18.94	482133.498804162
MET:FEATURE:positive:206.0912:18.94	656645.770315402
MET:FEATURE:positive:221.0208:20.04	205399.311332397
MET:FEATURE:positive:224.0314:20.04	349344.598484993
MET:FEATURE:positive:227.0316:19.82	126952.476115136
MET:FEATURE:positive:231.1371:19.41	301387.039196631
MET:FEATURE:positive:235.0923:19.82	780497.040429899
MET:FEATURE:positive:240.0348:20.04	213021.698215001
MET:FEATURE:positive:247.0577:19.60	379804.719760981
MET:FEATURE:positive:247.0924:20.04	402635.141891139
MET:FEATURE:positive:252.0629:20.04	1340650.54782264
MET:FEATURE:positive:259.1684:19.41	384050.00848635
MET:FEATURE:positive:270.0735:20.29	298450.438410054
MET:FEATURE:positive:271.0212:20.04	169359.849637942
MET:FEATURE:positive:273.1842:19.41	193644.851066831
MET:FEATURE:positive:275.0525:19.60	1370574.64880474
MET:FEATURE:positive:275.9733:19.15	1310133.07887514
MET:FEATURE:positive:278.0633:20.04	634423.375775779
MET:FEATURE:positive:283.0188:20.04	230891.970305372
MET:FEATURE:positive:293.0708:19.82	236814.028686249
MET:FEATURE:positive:293.1319:19.82	290640.199981976
MET:FEATURE:positive:304.0788:20.04	426803.143945972
MET:FEATURE:positive:306.0946:20.29	1304056.45440432
MET:FEATURE:positive:307.0323:19.15	630634.922506296
MET:FEATURE:positive:339.0586:19.41	450033.190555568
MET:FEATURE:positive:129.0911:18.94	189745.515830847
MET:FEATURE:positive:139.0390:20.04	231104.270323511
MET:FEATURE:positive:139.0582:18.94	601847.625943457
MET:FEATURE:positive:168.0655:18.72	4401396.30743941
MET:FEATURE:positive:171.0053:20.29	163274.01329348
MET:FEATURE:positive:187.0794:18.94	887705.499509954
MET:FEATURE:positive:201.0158:20.29	285792.02348066
MET:FEATURE:positive:205.0901:18.94	5213299.80215988
MET:FEATURE:positive:210.0163:19.60	994271.780611053
MET:FEATURE:positive:213.0157:19.82	391971.953342792
MET:FEATURE:positive:219.0052:20.04	820211.103369573
MET:FEATURE:positive:228.0267:20.29	273900.010765321
MET:FEATURE:positive:239.0313:20.04	3083550.84353906
MET:FEATURE:positive:242.0423:20.68	320436.976217012
MET:FEATURE:positive:244.0298:20.04	649561.574449068
MET:FEATURE:positive:245.1528:19.41	977628.040702175
MET:FEATURE:positive:248.0318:20.04	299379.304220924
MET:FEATURE:positive:251.0314:20.04	372204.67915371
MET:FEATURE:positive:255.0261:20.04	352976.020898263
MET:FEATURE:positive:284.0528:20.04	1288044.99729332
MET:FEATURE:positive:289.0316:20.04	498181.773802293
MET:FEATURE:positive:293.0633:19.82	375532.510289877
MET:FEATURE:positive:294.1011:19.82	5486505.83473039
MET:FEATURE:positive:295.1023:19.60	975089.331683223
MET:FEATURE:positive:303.0471:20.04	699000.234011157
MET:FEATURE:positive:326.0463:19.82	589393.758452021
MET:FEATURE:positive:335.0734:19.15	10616525.5465866
MET:FEATURE:positive:346.0544:19.82	2313026.60721434
MET:FEATURE:positive:366.1392:18.72	702428.854867034
MET:FEATURE:positive:378.0806:20.04	1619422.00013066
MET:FEATURE:positive:405.0092:18.47	3464627.00294301
MET:FEATURE:positive:129.1275:19.15	256803.078099854
MET:FEATURE:positive:140.9947:20.29	463222.642835513
MET:FEATURE:positive:141.0546:19.82	778261.401264741
MET:FEATURE:positive:207.0052:20.04	3100695.02385286
MET:FEATURE:positive:237.0157:20.04	1562003.57818875
MET:FEATURE:positive:293.0975:19.82	49836079.5989572
MET:FEATURE:positive:325.0429:20.04	5447899.75813436
MET:FEATURE:positive:160.0603:19.60	1103742.26176177
MET:FEATURE:positive:168.9896:19.82	2112834.39868934
MET:FEATURE:positive:173.0209:20.68	654282.125140991
MET:FEATURE:positive:187.0001:20.29	2527468.89337153
MET:FEATURE:positive:243.0262:20.04	8719943.35712441
MET:FEATURE:positive:273.0367:20.04	3095846.72164598
MET:FEATURE:positive:225.0157:20.04	3141995.03131382
MET:FEATURE:positive:127.0156:21.45	200991.835163671
MET:FEATURE:positive:262.0402:20.68	868237.257530916
MET:FEATURE:positive:115.0043:21.45	406049.314146071
MET:FEATURE:positive:145.0260:21.70	804985.411876262
MET:FEATURE:positive:364.0650:21.45	4238062.08528227
MET:FEATURE:positive:423.0896:21.70	1263394.02280931
MET:FEATURE:positive:141.0139:22.42	766497.749679153
MET:FEATURE:positive:142.0150:22.42	293504.371973348
MET:FEATURE:positive:181.0371:22.42	836889.51315237
MET:FEATURE:positive:230.0783:22.64	791427.571066493
MET:FEATURE:positive:240.0990:22.42	1181782.13216784
MET:FEATURE:positive:258.0874:22.85	9058157.68937706
MET:FEATURE:positive:279.0470:22.42	3867514.30740695
