feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	YEAST-CENPK-LOWGROWTH
PROT:sp|A5Z2X5|YP010_YEAST	sp|A5Z2X5|YP010_YEAST		YPR010C-A	UPF0495 protein YPR010C-A	0.00035489036	YPR010C-A — UPF0495 protein YPR010C-A	search FASTA description + reference GFF	32.2367962044684
PROT:sp|O13297|CET1_YEAST	sp|O13297|CET1_YEAST		CET1	mRNA-capping enzyme subunit beta	0.00035489036	CET1 — mRNA-capping enzyme subunit beta	search FASTA description + reference GFF	26.95858540555007
PROT:sp|O14455|RL36B_YEAST	sp|O14455|RL36B_YEAST		RPL36B	Large ribosomal subunit protein eL36B	0.00035489036	RPL36B — Large ribosomal subunit protein eL36B	search FASTA description + reference GFF	32.68024883670937
PROT:sp|O14467|MBF1_YEAST	sp|O14467|MBF1_YEAST		MBF1	Multiprotein-bridging factor 1	0.00035489036	MBF1 — Multiprotein-bridging factor 1	search FASTA description + reference GFF	35.123950918873554
PROT:sp|O43137|YB085_YEAST	sp|O43137|YB085_YEAST		YBR085C-A	Uncharacterized protein YBR085C-A	0.00035489036	YBR085C-A — Uncharacterized protein YBR085C-A	search FASTA description + reference GFF	31.77511084157962
PROT:sp|O74700|TIM9_YEAST	sp|O74700|TIM9_YEAST		TIM9	Mitochondrial import inner membrane translocase subunit TIM9	0.00035489036	TIM9 — Mitochondrial import inner membrane translocase subunit TIM9	search FASTA description + reference GFF	29.41596647276449
PROT:sp|O75012|MRP10_YEAST	sp|O75012|MRP10_YEAST		MRP10	Small ribosomal subunit protein mS37	0.00035489036	MRP10 — Small ribosomal subunit protein mS37	search FASTA description + reference GFF	26.148824159896485
PROT:sp|P00044|CYC1_YEAST	sp|P00044|CYC1_YEAST		CYC1	Cytochrome c isoform 1	0.00035489036	CYC1 — Cytochrome c isoform 1	search FASTA description + reference GFF	35.38309559551681
PROT:sp|P00045|CYC7_YEAST	sp|P00045|CYC7_YEAST		CYC7	Cytochrome c isoform 2	0.00035489036	CYC7 — Cytochrome c isoform 2	search FASTA description + reference GFF	30.081499599825143
PROT:sp|P00127|QCR6_YEAST	sp|P00127|QCR6_YEAST		QCR6	Cytochrome b-c1 complex subunit 6, mitochondrial	0.00035489036	QCR6 — Cytochrome b-c1 complex subunit 6, mitochondrial	search FASTA description + reference GFF	33.54179814342472
PROT:sp|P00128|QCR7_YEAST	sp|P00128|QCR7_YEAST		QCR7	Cytochrome b-c1 complex subunit 7, mitochondrial	0.00035489036	QCR7 — Cytochrome b-c1 complex subunit 7, mitochondrial	search FASTA description + reference GFF	33.88069523707649
PROT:sp|P00175|CYB2_YEAST	sp|P00175|CYB2_YEAST		CYB2	L-lactate dehydrogenase (cytochrome)	0.00035489036	CYB2 — L-lactate dehydrogenase (cytochrome)	search FASTA description + reference GFF	34.917879835995535
PROT:sp|P00331|ADH2_YEAST	sp|P00331|ADH2_YEAST		ADH2	Alcohol dehydrogenase 2	0.00035489036	ADH2 — Alcohol dehydrogenase 2	search FASTA description + reference GFF	36.82180541797626
PROT:sp|P00358|G3P2_YEAST	sp|P00358|G3P2_YEAST		TDH2	Glyceraldehyde-3-phosphate dehydrogenase 2	0.00035489036	TDH2 — Glyceraldehyde-3-phosphate dehydrogenase 2	search FASTA description + reference GFF	33.71732287418686
PROT:sp|P00359|G3P3_YEAST	sp|P00359|G3P3_YEAST		TDH3	Glyceraldehyde-3-phosphate dehydrogenase 3	0.00035489036	TDH3 — Glyceraldehyde-3-phosphate dehydrogenase 3	search FASTA description + reference GFF	36.07715359631746
PROT:sp|P00360|G3P1_YEAST	sp|P00360|G3P1_YEAST		TDH1	Glyceraldehyde-3-phosphate dehydrogenase 1	0.00035489036	TDH1 — Glyceraldehyde-3-phosphate dehydrogenase 1	search FASTA description + reference GFF	36.40143925664256
PROT:sp|P00401|COX1_YEAST	sp|P00401|COX1_YEAST		COX1	Cytochrome c oxidase subunit 1	0.00035489036	COX1 — Cytochrome c oxidase subunit 1	search FASTA description + reference GFF	25.378602929243943
PROT:sp|P00410|COX2_YEAST	sp|P00410|COX2_YEAST		COX2	Cytochrome c oxidase subunit 2	0.00035489036	COX2 — Cytochrome c oxidase subunit 2	search FASTA description + reference GFF	29.66958761620059
PROT:sp|P00424|COX5A_YEAST	sp|P00424|COX5A_YEAST		COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	0.00035489036	COX5A — Cytochrome c oxidase subunit 5A, mitochondrial	search FASTA description + reference GFF	33.047411964983304
PROT:sp|P00427|COX6_YEAST	sp|P00427|COX6_YEAST		COX6	Cytochrome c oxidase subunit 6, mitochondrial	0.00035489036	COX6 — Cytochrome c oxidase subunit 6, mitochondrial	search FASTA description + reference GFF	35.01816132055631
PROT:sp|P00431|CCPR_YEAST	sp|P00431|CCPR_YEAST		CCP1	Cytochrome c peroxidase, mitochondrial	0.00035489036	CCP1 — Cytochrome c peroxidase, mitochondrial	search FASTA description + reference GFF	32.509972077774506
PROT:sp|P00445|SODC_YEAST	sp|P00445|SODC_YEAST		SOD1	Superoxide dismutase	0.00035489036	SOD1 — Superoxide dismutase	search FASTA description + reference GFF	36.18496499326115
PROT:sp|P00447|SODM_YEAST	sp|P00447|SODM_YEAST		SOD2	Superoxide dismutase [Mn], mitochondrial	0.00035489036	SOD2 — Superoxide dismutase [Mn], mitochondrial	search FASTA description + reference GFF	35.86046429900073
PROT:sp|P00498|HIS1_YEAST	sp|P00498|HIS1_YEAST		HIS1	ATP phosphoribosyltransferase	0.00035489036	HIS1 — ATP phosphoribosyltransferase	search FASTA description + reference GFF	33.14175300835894
PROT:sp|P00546|CDK1_YEAST	sp|P00546|CDK1_YEAST		CDC28	Cyclin-dependent kinase 1	0.00035489036	CDC28 — Cyclin-dependent kinase 1	search FASTA description + reference GFF	31.41884347305726
PROT:sp|P00549|KPYK1_YEAST	sp|P00549|KPYK1_YEAST		CDC19	Pyruvate kinase 1	0.00035489036	CDC19 — Pyruvate kinase 1	search FASTA description + reference GFF	38.43257514772865
PROT:sp|P00560|PGK_YEAST	sp|P00560|PGK_YEAST		PGK1	Phosphoglycerate kinase	0.00035489036	PGK1 — Phosphoglycerate kinase	search FASTA description + reference GFF	40.05400619884482
PROT:sp|P00572|KTHY_YEAST	sp|P00572|KTHY_YEAST		CDC8	Thymidylate kinase	0.00035489036	CDC8 — Thymidylate kinase	search FASTA description + reference GFF	27.677410049898675
PROT:sp|P00724|INV2_YEAST	sp|P00724|INV2_YEAST		SUC2	Invertase 2	0.00035489036	SUC2 — Invertase 2	search FASTA description + reference GFF	34.494910592177995
PROT:sp|P00729|CBPY_YEAST	sp|P00729|CBPY_YEAST		PRC1	Carboxypeptidase Y	0.00035489036	PRC1 — Carboxypeptidase Y	search FASTA description + reference GFF	33.408201816486304
PROT:sp|P00812|ARGI_YEAST	sp|P00812|ARGI_YEAST		CAR1	Arginase	0.00035489036	CAR1 — Arginase	search FASTA description + reference GFF	29.993088845105547
