reported_result_id	study_accession	source_sample_id	showcase_sample_id	metabolite_name	reported_abundance	source_identification_label	database_identifier	chemical_formula	smiles	inchi	pubchem_id	kegg_id	hmdb_id	method	is_internal_standard	result_layer	mapping_to_reprocessed_feature	annotation_source
MTBLS697:ROW:0003	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dilinoleoyl-GPC (18:2/18:2)	248534.0	1,2-dilinoleoyl-GPC (18:2/18:2)					5288075		HMDB08138	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0005	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dioleoyl-GPC (18:1/18:1)	322673952.0	1,2-dioleoyl-GPC (18:1/18:1)					10350317			Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0006	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dioleoyl-GPE (18:1/18:1)	45593692.0	1,2-dioleoyl-GPE (18:1/18:1)					9546757			Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0007	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dioleoyl-GPI (18:1/18:1)	11150221.0	1,2-dioleoyl-GPI (18:1/18:1)							HMDB09837	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0008	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dioleoyl-GPS (18:1/18:1)	4223578.0	1,2-dioleoyl-GPS (18:1/18:1)					6438639			Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0009	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dipalmitoleoyl-GPC (16:1/16:1)*	1438753280.0	1,2-dipalmitoleoyl-GPC (16:1/16:1)*								Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0010	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dipalmitoleoyl-GPE (16:1/16:1)*	354011712.0	1,2-dipalmitoleoyl-GPE (16:1/16:1)*					9546809		HMDB05342	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0011	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dipalmitoleoyl-GPI (16:1/16:1)*	51364636.0	1,2-dipalmitoleoyl-GPI (16:1/16:1)*								Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0012	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1,2-dipalmitoyl-GPC (16:0/16:0)	6075788.0	1,2-dipalmitoyl-GPC (16:0/16:0)					452110	D03585	HMDB00564	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0014	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	10-heptadecenoate (17:1n7)	197721568.0	10-heptadecenoate (17:1n7)					5312435		HMDB60038	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
