analysis	requested	status	detail_status	marker
integration	True	success	success	results/ec_b36_cenpk_full_4omics_x86_v2/state/integration.complete.json
comparison	True	PASS	PASS	results/ec_b36_cenpk_full_4omics_x86_v2/state/comparison.complete.json
crispr	True	PASS_PUBLIC_PROCESSED_EVIDENCE	PASS_PUBLIC_PROCESSED_EVIDENCE	results/ec_b36_cenpk_full_4omics_x86_v2/state/crispr.complete.json
caller_regression	True	PASS_WORKFLOW_REGRESSION	PASS_WORKFLOW_REGRESSION	results/ec_b36_cenpk_full_4omics_x86_v2/state/caller_regression.complete.json
validation_replay	True	PASS_FRESH_REPLAY	PASS_FRESH_REPLAY	results/ec_b36_cenpk_full_4omics_x86_v2/state/validation_replay.complete.json
qtl	True	PASS_FRESH_VALIDATION_REPLAY	PASS_FRESH_VALIDATION_REPLAY	results/ec_b36_cenpk_full_4omics_x86_v2/state/qtl.complete.json
molecular_qtl	True	PASS_FRESH_VALIDATION_REPLAY	PASS_FRESH_VALIDATION_REPLAY	results/ec_b36_cenpk_full_4omics_x86_v2/state/molecular_qtl.complete.json
wgcna	True	PASS_FRESH_VALIDATION_REPLAY	PASS_FRESH_VALIDATION_REPLAY	results/ec_b36_cenpk_full_4omics_x86_v2/state/wgcna.complete.json
mofa2	True	PASS_FRESH_VALIDATION_REPLAY	PASS_FRESH_VALIDATION_REPLAY	results/ec_b36_cenpk_full_4omics_x86_v2/state/mofa2.complete.json
diablo	True	DEFERRED_NO_PREDECLARED_TARGET	DEFERRED_NO_PREDECLARED_TARGET	results/ec_b36_cenpk_full_4omics_x86_v2/state/diablo.complete.json
gem	True	PASS_FRESH_VALIDATION_REPLAY	PASS_FRESH_VALIDATION_REPLAY	results/ec_b36_cenpk_full_4omics_x86_v2/state/gem.complete.json
fermentation	True	PASS_SYNTHETIC_FIXTURE	PASS_SYNTHETIC_FIXTURE	results/ec_b36_cenpk_full_4omics_x86_v2/state/fermentation.complete.json
mlp	True	PASS_SYNTHETIC_FEASIBILITY	PASS_SYNTHETIC_FEASIBILITY	results/ec_b36_cenpk_full_4omics_x86_v2/state/mlp.complete.json
kg	True	PASS_INGESTION_FEASIBILITY	PASS_INGESTION_FEASIBILITY	results/ec_b36_cenpk_full_4omics_x86_v2/state/kg.complete.json
