record_type	record_id	role	relative_path	size_bytes	sha256	source_layer	status
assay_input	EC_B36_DNA_ERR2929695	primary	data/raw/EC_B36_CENPK_ANCHORS/dna/ecoli/ERR2929695_1.fastq.gz	208189985	59d18c0e4ceba9ef713b90fabcbeec285182d9ec63e06b8cec8359d2c877028a	public_raw	PASS
assay_input	EC_B36_DNA_ERR2929695	secondary	data/raw/EC_B36_CENPK_ANCHORS/dna/ecoli/ERR2929695_2.fastq.gz	230366117	4edaaa5041deff1d418571862b84f3d66a37e79c9e09a5cd0a33ac85997ba73a	public_raw	PASS
assay_input	SC_CENPK_DNA_SRR445715	primary	data/raw/EC_B36_CENPK_ANCHORS/dna/yeast/SRR445715_1.fastq.gz	458428109	fc7a53bb254e71b9942d07c2d5f166155809bfec4f40b13700803870b6843aff	public_raw	PASS
assay_input	SC_CENPK_DNA_SRR445715	secondary	data/raw/EC_B36_CENPK_ANCHORS/dna/yeast/SRR445715_2.fastq.gz	458625416	27c3e727ed294528d26667dfa837589dc8c95ebd127d6399ef2b7e2bea256ce9	public_raw	PASS
assay_input	EC_B36_RNA_SRR12067163	primary	data/raw/EC_B36_CENPK_ANCHORS/rna/ecoli/SRR12067163_1.fastq.gz	945526137	8ecd6f63509479b0e7c857d67feaa61bf78a50cb502fc94283c19851dc0435b8	public_raw	PASS
assay_input	EC_B36_RNA_SRR12067163	secondary	data/raw/EC_B36_CENPK_ANCHORS/rna/ecoli/SRR12067163_2.fastq.gz	931196993	ade04a453c76c25dc11350b9e7b1ba57b0956df530624b38090242f00338cc07	public_raw	PASS
assay_input	SC_CENPK_RNA_SRR8594115	primary	data/raw/EC_B36_CENPK_ANCHORS/rna/yeast/SRR8594115_1.fastq.gz	334947037	5ceddde22f86aab94fd0714eefebde9f1835ff9980884ed4b175855de17132f7	public_raw	PASS
assay_input	SC_CENPK_RNA_SRR8594115	secondary	data/raw/EC_B36_CENPK_ANCHORS/rna/yeast/SRR8594115_2.fastq.gz	348642635	2168f6a04fe01613d9e272334ef83d8aca78e002655a35b2accbf2761ddc0de4	public_raw	PASS
assay_input	EC_B36_PROTEOME_50977	primary	data/raw/EC_B36_CENPK_ANCHORS/proteomics/ecoli/50977_SEP_MBPF_MS_QEPlus1_P16_0062_Exp18.raw	2342422791	069ccce88d6324634ca1d8c8efc60a885ca29dbee42f59a1cec729015b23c6ce	public_raw	PASS
assay_input	SC_CENPK_PROTEOME_S1	primary	data/raw/EC_B36_CENPK_ANCHORS/proteomics/yeast/160926_17_Orbi2_SK_SER_G240_T275_Chalmers_Xia_S1.raw	4313116983	e4f010a61a41fc5af8a0a6fac2bcf327735edc7a86685a748faae3a28f94e5f5	public_raw	PASS
assay_input	EC_B36_METAB_50913	primary	data/raw/EC_B36_CENPK_ANCHORS/metabolomics/ecoli/50913_Sep_MA_LCMS_B36R-1-580-33841_Bio21_LC_QTOF_6545.zip	23689658	933a7ca53ffd77824e4c28378ac69c2ccea8e82bc8d5f27c1ae7fff852646953	public_raw	PASS
assay_input	SC_CENPK_METAB_QXA10	primary	data/raw/EC_B36_CENPK_ANCHORS/metabolomics/yeast/QXA10POSLAT20160809_CHAL0116VW_YEAST_15.mzML	11719028	70ccbc375997c68dca2bf25ea1fb7df7aec80eb0b42888ff4867274a6cafa45e	public_raw	PASS
reference	EC_B36_GCF900622635	genome_fasta	data/references/EC_B36/reference.fasta	5327689	e1e53a89e4dbe366eec0cd8f8e0fc8f84526e3e1e7ee5c68c3aa06f5244d7096	public_raw	PASS
reference	EC_B36_GCF900622635	annotation_gff	data/references/EC_B36/reference.gff	3095028	b5325c0dfd5686ec202ea23508137cb41d0e34ee6fa13e08596fd1cae35bb81c	public_raw	PASS
reference	EC_B36_GCF900622635	proteome_fasta	data/references/EC_B36/proteome.fasta	1910374	4f710def5cac869924d7ea4662483f23ac028b36cc8a5d8f0f07608a98b44e40	public_raw	PASS
reference	EC_B36_GCF900622635	gem_model	data/gpa/gem/iML1515.json	3062491	b0f9199f048779bb08a14dfa6c09ec56d35b8750d2f99681980d0f098355fbf5	public_raw	PASS
reference	SC_CENPK_GCA000269885	genome_fasta	data/references/SC_CENPK1137D/reference.fasta	12157033	c203c27da72b9542d0eed96120205f8d1370b3fce928ceac68016fbb9abdc575	public_raw	PASS
reference	SC_CENPK_GCA000269885	annotation_gff	data/references/SC_CENPK1137D/reference.gff	5292953	f3be8188a6c1a63300957b1966bb16157fba0529ee33a876b7f373ad7285f582	public_raw	PASS
reference	SC_CENPK_GCA000269885	proteome_fasta	data/references/SC_CENPK1137D/proteome.fasta	3052016	454a6b62ec222491c82d400c0d29720ae3f50607f9c00eef3ec4e3b85ce9ad0b	public_raw	PASS
reference	SC_CENPK_GCA000269885	gem_model	data/gpa/gem/yeast-GEM-v9.1.0.xml	11562488	05d33f3e82c2e2d072e229e7588f06d33b7df9daa806288db548c140149fc8bb	public_raw	PASS
reference	SC_S288C_R64	genome_fasta	data/references/SC_S288C_R64/S288C_R64_genome.fna	12310392	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	public_raw	PASS
reference	SC_S288C_R64	annotation_gff	data/references/SC_S288C_R64/S288C_R64_annotation.gff3	12464547	228ea6918fc034e80a34f87d30729c0a8caeb019861baef7d14878324a0d7b8c	public_raw	PASS
reference	SC_S288C_R64	proteome_fasta	data/references/SC_S288C_R64/S288C_R64_proteins.faa	3400039	a376bcbd87c6caa8c0d81c2b1feb2d04246b438023bab3ced3821a61db718aac	public_raw	PASS
reference	SC_S288C_R64	gem_model	data/gpa/gem/yeast-GEM-v9.1.0.xml	11562488	05d33f3e82c2e2d072e229e7588f06d33b7df9daa806288db548c140149fc8bb	public_raw	PASS
reference	EC_MS14384_GCF900622695	genome_fasta	data/references/EC_MS14384/reference.fasta	5251018	7470c8ebbc85aff5669f2d8d4f050d518e27f2fa0369acd5eb50465fd61dc661	public_raw	PASS
reference	EC_MS14384_GCF900622695	annotation_gff	data/references/EC_MS14384/reference.gff	2972263	4f29237d553e605f6a759d44c42610bb342a1fbd71cbcffe43d0497dd95fbb9a	public_raw	PASS
reference	EC_MS14384_GCF900622695	proteome_fasta	data/references/EC_MS14384/proteome.fasta	1895141	2c9a5e813ab185c2c9fcefe428b1ba60ac8e465e4e39a61ab06ae8005f8ef5fe	public_raw	PASS
reference	EC_MS14384_GCF900622695	gem_model	data/gpa/gem/iML1515.json	3062491	b0f9199f048779bb08a14dfa6c09ec56d35b8750d2f99681980d0f098355fbf5	public_raw	PASS
mapping_table	gene_identifiers	gene_id_map	config/mappings/gene_id_map.tsv	2241467	1651db3eced41de151028c9db43529c2c5189ec84587f25b784ccc7b9e81dc40	public_processed	PASS
mapping_table	protein_to_gene	protein_gene_map	config/mappings/protein_gene_map.tsv	578659	7dcc53b3eb5c3ca214463ee99f0e7962549b83c871a94120c9de3ffd88c1135f	public_processed	PASS
