gene_id	gene_symbol	description	BC187	YJM981	CENPK1137D_TPM	BC187_within_dataset_percentile	YJM981_within_dataset_percentile	CENPK1137D_TPM_within_dataset_percentile	comparison_scope	source_layer
Q0020	15S_RRNA	15S ribosomal RNA	113.962068	143.415339		0.7660628580275585	0.8180832946276514		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0045	COX1	cytochrome c oxidase subunit 1	11.417844	24.473962		0.17355627806161944	0.2910667285957579		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0050	AI1	intron-encoded reverse transcriptase aI1	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0055	AI2	intron-encoded reverse transcriptase aI2	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0060	AI3	intron-encoded DNA endonuclease aI3	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0065	AI4	intron-encoded DNA endonuclease aI4	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0070	AI5_ALPHA	intron-encoded DNA endonuclease aI5 alpha	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0075	AI5_BETA	intron-encoded DNA endonuclease aI5 beta	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0080	ATP8	F1F0 ATP synthase subunit 8	11.569148	0.0		0.17471744852144294	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0085	ATP6	F1F0 ATP synthase subunit a	17.442715	42.11038		0.20885586004025392	0.45502399752283634		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0105	COB	cytochrome b	0.358891	0.924201		0.10543427775197399	0.13562470970738505		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0110	BI2	cytochrome b mRNA maturase bI2	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0115	BI3	cytochrome b mRNA maturase bI3	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0120	BI4	intron-encoded RNA maturase bI4	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0130	OLI1	F0 ATP synthase subunit c	99.389496	241.724519		0.7310729215048769	0.8877535222170615		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0140	VAR1	mitochondrial 37S ribosomal protein VAR1	8.524635	43.904557		0.15884811890385508	0.46926768849667133		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0158	21S_RRNA	21S ribosomal RNA	567.015942	826.517003		0.9513856634153893	0.9705836816844713		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0160	SCEI	intron-encoded endonuclease I-SceI	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0250	COX2	cytochrome c oxidase subunit 2	5.623891	13.034165		0.14251432110233783	0.19716674407803064		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0255	Q0255	maturase-like protein	0.0	2.204436		0.052562316148010525	0.13949527790679672		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0275	COX3	cytochrome c oxidase subunit 3	5.248965	4.055074		0.1385663415389379	0.14723641430562007		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
Q0285	RPM1	RPM1	0.0	0.0		0.052562316148010525	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
R0010W					19.806038856592576			0.14874484825777445	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
R0030W					3571.1733694283816			0.9956912701386287	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YAL001C	TFC3	transcription factor TFIIIC subunit TFC3	39.506065	40.448593	23.000030809578977	0.41709242916860195	0.4396965474531661	0.18864743349569127	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YAL002W	VPS8	CORVET complex membrane-binding subunit VPS8	40.01564	42.936074	16.315199530111503	0.4228208701037312	0.46144914073385973	0.10828025477707007	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
