reaction_id	pfba_flux	model_id	upstream_baseline	analysis_method
CYTDK2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
XPPT	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
HXPRT	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NDPK5	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
SHK3Dr	0.3132028066658425	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NDPK6	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NDPK8	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DHORTS	-0.2718466474540229	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
OMPDC	0.271846647454023	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PYNP2r	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
G5SD	0.18166254221783595	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
CS	5.280300235257247	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ICDHyr	5.280300235257246	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ALATA_L2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DURIPP	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ACALD	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PTRCTA	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ACS	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
CYSDS	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
MAN6PI	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PPA	2.8775772378632616	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
APRAUR	0.0003665218783975322	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TRPAS2	-0.04671345994113885	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PPCK	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ME1	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DB4PS	0.0007330437567950645	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ALAR	0.034254181469425424	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RBFK	0.0001832609391987925	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ALATA_L	-0.47815819689305644	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
XYLK	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RBK	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLYK	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PPM	-0.0005530700093086179	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ASPTA	-2.4060788914244338	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ACP1_FMN	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RBFSb	0.00036652187839753225	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NDP3	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
CDPPH	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
NDP7	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
FBP	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_pi_e	-0.792711217563654	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLGC	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ALATA_D2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PYK	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
SHCHD2	0.00018326093919873975	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_co2_e	21.755337786801825	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
A5PISO	0.03197780119327965	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PMDPHT	0.00036652187839753214	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
CPPPGO	0.00018326093919873978	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_met__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GTHOr	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ILETA	-0.2387561318586128	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DHORD5	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_metsox_S__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLYCTO2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
VALTA	-0.3477536571893142	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLYCTO3	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
IPPMIb	-0.3702454448347418	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GLYCTO4	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ORPT	-0.2718466474540229	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
RBFSa	0.0007330437567950645	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ACHBS	0.23875613185861283	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PFK_3	0.7730056125408612	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DHAD2	0.23875613185861283	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ACLS	0.7185529938313197	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TRPS2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PSCVT	0.3132028066658425	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
G3PD5	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
G1PP	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PFL	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_acgam_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ANS	0.04671345994113884	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
FRD2	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
FRD3	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ANPRT	0.04671345994113883	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
POX	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
CHORM	0.26575630296791597	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
PTAr	1.7783769369800024	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
CHORS	0.31320280666584244	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
IGPS	0.04671345994113885	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
ACKr	-1.7783769369800027	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_cellb_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_crn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_hxan_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_ile__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_chol_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_fe3_e	-0.006416598339842977	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
LEUTAi	0.37024544483474187	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_lac__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_leu__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_glcn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
