feature_id	gene_id	gene_name	gene_product	ortholog_or_alias	chrom	start	end	strand	annotation_source	display_label	ECOLI-B36-RPMI
RNA:GENE:EC_B36_GCF900622635:EW036_RS00005	EW036_RS00005	dnaA	chromosomal replication initiator protein DnaA		NZ_LR130545.1	1	1404	+	reference GFF: annotation.gff	dnaA (EW036_RS00005) — chromosomal replication initiator protein DnaA	193.2117961939813
RNA:GENE:EC_B36_GCF900622635:EW036_RS00010	EW036_RS00010	dnaN	DNA polymerase III subunit beta		NZ_LR130545.1	1409	2509	+	reference GFF: annotation.gff	dnaN (EW036_RS00010) — DNA polymerase III subunit beta	145.09892757982274
RNA:GENE:EC_B36_GCF900622635:EW036_RS00015	EW036_RS00015	recF	DNA replication/repair protein RecF		NZ_LR130545.1	2509	3582	+	reference GFF: annotation.gff	recF (EW036_RS00015) — DNA replication/repair protein RecF	61.37757164758489
RNA:GENE:EC_B36_GCF900622635:EW036_RS00020	EW036_RS00020	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B		NZ_LR130545.1	3611	6025	+	reference GFF: annotation.gff	gyrB (EW036_RS00020) — DNA topoisomerase (ATP-hydrolyzing) subunit B	224.91235010447556
RNA:GENE:EC_B36_GCF900622635:EW036_RS00025	EW036_RS00025	yidB	YidB family protein		NZ_LR130545.1	6169	6567	+	reference GFF: annotation.gff	yidB (EW036_RS00025) — YidB family protein	70.80506117025367
RNA:GENE:EC_B36_GCF900622635:EW036_RS00030	EW036_RS00030	yidA	sugar-phosphatase		NZ_LR130545.1	6681	7493	+	reference GFF: annotation.gff	yidA (EW036_RS00030) — sugar-phosphatase	43.37758667546819
RNA:GENE:EC_B36_GCF900622635:EW036_RS00035	EW036_RS00035		hypothetical protein		NZ_LR130545.1	7537	8193	-	reference GFF: annotation.gff	EW036_RS00035 — hypothetical protein	1.9013753108341656
RNA:GENE:EC_B36_GCF900622635:EW036_RS00040	EW036_RS00040	dgoR	D-galactonate utilization transcriptional regulator DgoR		NZ_LR130545.1	8472	9161	+	reference GFF: annotation.gff	dgoR (EW036_RS00040) — D-galactonate utilization transcriptional regulator DgoR	3.411983020160775
RNA:GENE:EC_B36_GCF900622635:EW036_RS00045	EW036_RS00045	dgoK	2-dehydro-3-deoxygalactonokinase		NZ_LR130545.1	9158	10036	+	reference GFF: annotation.gff	dgoK (EW036_RS00045) — 2-dehydro-3-deoxygalactonokinase	1.5851449985702004
RNA:GENE:EC_B36_GCF900622635:EW036_RS00050	EW036_RS00050	dgoA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase		NZ_LR130545.1	10020	10637	+	reference GFF: annotation.gff	dgoA (EW036_RS00050) — 2-dehydro-3-deoxy-6-phosphogalactonate aldolase	0.31097923306398984
RNA:GENE:EC_B36_GCF900622635:EW036_RS00055	EW036_RS00055	dgoD	galactonate dehydratase		NZ_LR130545.1	10634	11782	+	reference GFF: annotation.gff	dgoD (EW036_RS00055) — galactonate dehydratase	0.5017889452572994
RNA:GENE:EC_B36_GCF900622635:EW036_RS00060	EW036_RS00060	dgoT	MFS transporter		NZ_LR130545.1	11857	13194	+	reference GFF: annotation.gff	dgoT (EW036_RS00060) — MFS transporter	0.7899988140392386
RNA:GENE:EC_B36_GCF900622635:EW036_RS00065	EW036_RS00065	cbrA	colicin M resistance lipid reductase CbrA		NZ_LR130545.1	13155	14255	-	reference GFF: annotation.gff	cbrA (EW036_RS00065) — colicin M resistance lipid reductase CbrA	0.9164142794515122
RNA:GENE:EC_B36_GCF900622635:EW036_RS00070	EW036_RS00070	yidR	DUF3748 domain-containing protein		NZ_LR130545.1	14356	15570	+	reference GFF: annotation.gff	yidR (EW036_RS00070) — DUF3748 domain-containing protein	11.626016216844121
RNA:GENE:EC_B36_GCF900622635:EW036_RS00075	EW036_RS00075	yidQ	YceK/YidQ family lipoprotein		NZ_LR130545.1	15574	15906	-	reference GFF: annotation.gff	yidQ (EW036_RS00075) — YceK/YidQ family lipoprotein	16.01543050279547
RNA:GENE:EC_B36_GCF900622635:EW036_RS00080	EW036_RS00080	ibpA	small heat shock chaperone IbpA		NZ_LR130545.1	16212	16625	+	reference GFF: annotation.gff	ibpA (EW036_RS00080) — small heat shock chaperone IbpA	49.55499148328744
RNA:GENE:EC_B36_GCF900622635:EW036_RS00085	EW036_RS00085	ibpB	small heat shock chaperone IbpB		NZ_LR130545.1	16737	17165	+	reference GFF: annotation.gff	ibpB (EW036_RS00085) — small heat shock chaperone IbpB	9.743653522679764
RNA:GENE:EC_B36_GCF900622635:EW036_RS00090	EW036_RS00090	yidE	putative transporter		NZ_LR130545.1	17363	19024	+	reference GFF: annotation.gff	yidE (EW036_RS00090) — putative transporter	2.775237054636039
RNA:GENE:EC_B36_GCF900622635:EW036_RS00095	EW036_RS00095	yidL	AraC family transcriptional regulator		NZ_LR130545.1	19114	19980	-	reference GFF: annotation.gff	yidL (EW036_RS00095) — AraC family transcriptional regulator	2.7154190125846998
RNA:GENE:EC_B36_GCF900622635:EW036_RS00100	EW036_RS00100	yidK	solute:sodium symporter family transporter		NZ_LR130545.1	20147	21862	+	reference GFF: annotation.gff	yidK (EW036_RS00100) — solute:sodium symporter family transporter	1.931931301910643
RNA:GENE:EC_B36_GCF900622635:EW036_RS00110	EW036_RS00110	yidH	YidH family protein		NZ_LR130545.1	23413	23760	+	reference GFF: annotation.gff	yidH (EW036_RS00110) — YidH family protein	11.735444764979443
RNA:GENE:EC_B36_GCF900622635:EW036_RS00115	EW036_RS00115	yidG	DUF202 domain-containing protein		NZ_LR130545.1	23750	24112	+	reference GFF: annotation.gff	yidG (EW036_RS00115) — DUF202 domain-containing protein	20.51563411515123
RNA:GENE:EC_B36_GCF900622635:EW036_RS00120	EW036_RS00120	yidF	radical SAM protein		NZ_LR130545.1	24109	24606	+	reference GFF: annotation.gff	yidF (EW036_RS00120) — radical SAM protein	10.323199179512745
RNA:GENE:EC_B36_GCF900622635:EW036_RS00125	EW036_RS00125	emrD	multidrug efflux MFS transporter EmrD		NZ_LR130545.1	24614	25798	-	reference GFF: annotation.gff	emrD (EW036_RS00125) — multidrug efflux MFS transporter EmrD	4.216720942508175
RNA:GENE:EC_B36_GCF900622635:EW036_RS00130	EW036_RS00130	ivbL	ilvB operon leader peptide IvbL		NZ_LR130545.1	26199	26297	+	reference GFF: annotation.gff	ivbL (EW036_RS00130) — ilvB operon leader peptide IvbL	115.9905421263066
RNA:GENE:EC_B36_GCF900622635:EW036_RS00135	EW036_RS00135	ilvB	acetolactate synthase large subunit		NZ_LR130545.1	26403	28091	+	reference GFF: annotation.gff	ilvB (EW036_RS00135) — acetolactate synthase large subunit	4.835920400488864
RNA:GENE:EC_B36_GCF900622635:EW036_RS00140	EW036_RS00140	ilvN	acetolactate synthase small subunit		NZ_LR130545.1	28095	28385	+	reference GFF: annotation.gff	ilvN (EW036_RS00140) — acetolactate synthase small subunit	6.769408769222829
RNA:GENE:EC_B36_GCF900622635:EW036_RS00150	EW036_RS00150	uhpA	transcriptional regulator UhpA		NZ_LR130545.1	29795	30385	+	reference GFF: annotation.gff	uhpA (EW036_RS00150) — transcriptional regulator UhpA	3.9835334753146108
RNA:GENE:EC_B36_GCF900622635:EW036_RS00155	EW036_RS00155	uhpB	signal transduction histidine-protein kinase/phosphatase UhpB		NZ_LR130545.1	30385	31887	+	reference GFF: annotation.gff	uhpB (EW036_RS00155) — signal transduction histidine-protein kinase/phosphatase UhpB	3.93193203960847
RNA:GENE:EC_B36_GCF900622635:EW036_RS00160	EW036_RS00160	uhpC	MFS transporter family glucose-6-phosphate receptor UhpC		NZ_LR130545.1	31897	33216	+	reference GFF: annotation.gff	uhpC (EW036_RS00160) — MFS transporter family glucose-6-phosphate receptor UhpC	3.4578770403762955
RNA:GENE:EC_B36_GCF900622635:EW036_RS00165	EW036_RS00165	uhpT	hexose-6-phosphate:phosphate antiporter		NZ_LR130545.1	33354	34745	+	reference GFF: annotation.gff	uhpT (EW036_RS00165) — hexose-6-phosphate:phosphate antiporter	1.6222526586883346
RNA:GENE:EC_B36_GCF900622635:EW036_RS00170	EW036_RS00170	adeD	adenine deaminase		NZ_LR130545.1	34792	36558	-	reference GFF: annotation.gff	adeD (EW036_RS00170) — adenine deaminase	0.9244900460017761
RNA:GENE:EC_B36_GCF900622635:EW036_RS00175	EW036_RS00175	adeQ	adenine permease AdeQ		NZ_LR130545.1	36733	38067	+	reference GFF: annotation.gff	adeQ (EW036_RS00175) — adenine permease AdeQ	0.8997432866739031
RNA:GENE:EC_B36_GCF900622635:EW036_RS00180	EW036_RS00180	yicN	DUF1198 domain-containing protein		NZ_LR130545.1	38120	38572	+	reference GFF: annotation.gff	yicN (EW036_RS00180) — DUF1198 domain-containing protein	18.7730542979788
RNA:GENE:EC_B36_GCF900622635:EW036_RS00185	EW036_RS00185		helix-turn-helix domain-containing protein		NZ_LR130545.1	38688	39011	-	reference GFF: annotation.gff	EW036_RS00185 — helix-turn-helix domain-containing protein	28.175294403066108
RNA:GENE:EC_B36_GCF900622635:EW036_RS00190	EW036_RS00190		type II toxin-antitoxin system RelE/ParE family toxin		NZ_LR130545.1	38995	39348	-	reference GFF: annotation.gff	EW036_RS00190 — type II toxin-antitoxin system RelE/ParE family toxin	44.11029587634347
RNA:GENE:EC_B36_GCF900622635:EW036_RS00200	EW036_RS00200	nepI	purine ribonucleoside efflux pump NepI		NZ_LR130545.1	39582	40772	+	reference GFF: annotation.gff	nepI (EW036_RS00200) — purine ribonucleoside efflux pump NepI	20.0898851143379
RNA:GENE:EC_B36_GCF900622635:EW036_RS00205	EW036_RS00205	yicS	protein YicS		NZ_LR130545.1	40813	41106	-	reference GFF: annotation.gff	yicS (EW036_RS00205) — protein YicS	10.132211134421626
RNA:GENE:EC_B36_GCF900622635:EW036_RS00210	EW036_RS00210	nlpA	lipoprotein NlpA		NZ_LR130545.1	41328	42146	+	reference GFF: annotation.gff	nlpA (EW036_RS00210) — lipoprotein NlpA	12.084903602842008
RNA:GENE:EC_B36_GCF900622635:EW036_RS00215	EW036_RS00215	yicL	carboxylate/amino acid/amine transporter		NZ_LR130545.1	42150	43073	-	reference GFF: annotation.gff	yicL (EW036_RS00215) — carboxylate/amino acid/amine transporter	22.047216016835325
RNA:GENE:EC_B36_GCF900622635:EW036_RS00220	EW036_RS00220		hypothetical protein		NZ_LR130545.1	43251	43748	-	reference GFF: annotation.gff	EW036_RS00220 — hypothetical protein	135.74524528574236
RNA:GENE:EC_B36_GCF900622635:EW036_RS00225	EW036_RS00225		DUF4942 domain-containing protein		NZ_LR130545.1	44341	45186	-	reference GFF: annotation.gff	EW036_RS00225 — DUF4942 domain-containing protein	8.859599852610263
RNA:GENE:EC_B36_GCF900622635:EW036_RS00230	EW036_RS00230		hypothetical protein		NZ_LR130545.1	45271	45463	-	reference GFF: annotation.gff	EW036_RS00230 — hypothetical protein	17.924005122299597
RNA:GENE:EC_B36_GCF900622635:EW036_RS00235	EW036_RS00235		DUF5983 family protein		NZ_LR130545.1	45475	45963	-	reference GFF: annotation.gff	EW036_RS00235 — DUF5983 family protein	27.314660612129703
RNA:GENE:EC_B36_GCF900622635:EW036_RS00240	EW036_RS00240		TA system toxin CbtA family protein		NZ_LR130545.1	45960	46097	-	reference GFF: annotation.gff	EW036_RS00240 — TA system toxin CbtA family protein	43.868353116352814
RNA:GENE:EC_B36_GCF900622635:EW036_RS00245	EW036_RS00245	istB	IS21-like element ISEc12 family helper ATPase IstB		NZ_LR130545.1	46182	46928	-	reference GFF: annotation.gff	istB (EW036_RS00245) — IS21-like element ISEc12 family helper ATPase IstB	2.1225269341054243
RNA:GENE:EC_B36_GCF900622635:EW036_RS00250	EW036_RS00250	istA	IS21-like element ISEc12 family transposase		NZ_LR130545.1	46943	48484	-	reference GFF: annotation.gff	istA (EW036_RS00250) — IS21-like element ISEc12 family transposase	0.15579212551357466
RNA:GENE:EC_B36_GCF900622635:EW036_RS00255	EW036_RS00255		TA system toxin CbtA family protein		NZ_LR130545.1	48677	48925	-	reference GFF: annotation.gff	EW036_RS00255 — TA system toxin CbtA family protein	0.38591398801916804
RNA:GENE:EC_B36_GCF900622635:EW036_RS00260	EW036_RS00260		type IV toxin-antitoxin system YeeU family antitoxin		NZ_LR130545.1	49015	49383	-	reference GFF: annotation.gff	EW036_RS00260 — type IV toxin-antitoxin system YeeU family antitoxin	0.520827008220991
RNA:GENE:EC_B36_GCF900622635:EW036_RS00265	EW036_RS00265		DUF987 domain-containing protein		NZ_LR130545.1	49457	49678	-	reference GFF: annotation.gff	EW036_RS00265 — DUF987 domain-containing protein	0.21642473652426317
RNA:GENE:EC_B36_GCF900622635:EW036_RS00270	EW036_RS00270	radC	RadC family protein		NZ_LR130545.1	49747	50223	-	reference GFF: annotation.gff	radC (EW036_RS00270) — RadC family protein	0.20145195601000596
RNA:GENE:EC_B36_GCF900622635:EW036_RS00275	EW036_RS00275		antirestriction protein		NZ_LR130545.1	50235	50720	-	reference GFF: annotation.gff	EW036_RS00275 — antirestriction protein	0.49430341058010724
RNA:GENE:EC_B36_GCF900622635:EW036_RS00280	EW036_RS00280		DUF932 domain-containing protein		NZ_LR130545.1	50812	51630	-	reference GFF: annotation.gff	EW036_RS00280 — DUF932 domain-containing protein	0.17599374178896127
RNA:GENE:EC_B36_GCF900622635:EW036_RS00285	EW036_RS00285		DUF905 family protein		NZ_LR130545.1	51721	51954	-	reference GFF: annotation.gff	EW036_RS00285 — DUF905 family protein	0.20532603208712144
RNA:GENE:EC_B36_GCF900622635:EW036_RS00290	EW036_RS00290		Ag43/Cah family autotransporter adhesin		NZ_LR130545.1	52025	54871	-	reference GFF: annotation.gff	EW036_RS00290 — Ag43/Cah family autotransporter adhesin	1.6707351104075363
RNA:GENE:EC_B36_GCF900622635:EW036_RS00295	EW036_RS00295		GTPase family protein		NZ_LR130545.1	55244	56116	-	reference GFF: annotation.gff	EW036_RS00295 — GTPase family protein	0.5503584365221812
RNA:GENE:EC_B36_GCF900622635:EW036_RS00300	EW036_RS00300		hypothetical protein		NZ_LR130545.1	56201	57117	-	reference GFF: annotation.gff	EW036_RS00300 — hypothetical protein	0.9431115018003877
RNA:GENE:EC_B36_GCF900622635:EW036_RS00310	EW036_RS00310		hypothetical protein		NZ_LR130545.1	57951	58148	-	reference GFF: annotation.gff	EW036_RS00310 — hypothetical protein	1.6986062654480045
RNA:GENE:EC_B36_GCF900622635:EW036_RS00320	EW036_RS00320		hypothetical protein		NZ_LR130545.1	58320	58922	-	reference GFF: annotation.gff	EW036_RS00320 — hypothetical protein	0.0
RNA:GENE:EC_B36_GCF900622635:EW036_RS00325	EW036_RS00325		helix-turn-helix transcriptional regulator		NZ_LR130545.1	59017	59223	-	reference GFF: annotation.gff	EW036_RS00325 — helix-turn-helix transcriptional regulator	0.0
RNA:GENE:EC_B36_GCF900622635:EW036_RS00340	EW036_RS00340	hha	hemolysin expression modulator Hha		NZ_LR130545.1	60149	60328	+	reference GFF: annotation.gff	hha (EW036_RS00340) — hemolysin expression modulator Hha	16.54927818622199
RNA:GENE:EC_B36_GCF900622635:EW036_RS00355	EW036_RS00355		inovirus Gp2 family protein		NZ_LR130545.1	61057	61626	+	reference GFF: annotation.gff	EW036_RS00355 — inovirus Gp2 family protein	1.348667831814356
RNA:GENE:EC_B36_GCF900622635:EW036_RS00360	EW036_RS00360		putative zinc ribbon protein		NZ_LR130545.1	61792	62211	+	reference GFF: annotation.gff	EW036_RS00360 — putative zinc ribbon protein	0.0
RNA:GENE:EC_B36_GCF900622635:EW036_RS00365	EW036_RS00365		putative zinc ribbon protein		NZ_LR130545.1	62171	62581	+	reference GFF: annotation.gff	EW036_RS00365 — putative zinc ribbon protein	1.052108573176345
RNA:GENE:EC_B36_GCF900622635:EW036_RS00375	EW036_RS00375		hypothetical protein		NZ_LR130545.1	63490	64023	+	reference GFF: annotation.gff	EW036_RS00375 — hypothetical protein	3.2390758320260504
RNA:GENE:EC_B36_GCF900622635:EW036_RS00380	EW036_RS00380		hypothetical protein		NZ_LR130545.1	64117	66966	+	reference GFF: annotation.gff	EW036_RS00380 — hypothetical protein	32.73891161729348
RNA:GENE:EC_B36_GCF900622635:EW036_RS00385	EW036_RS00385		Rpn family recombination-promoting nuclease/putative transposase		NZ_LR130545.1	67026	67565	+	reference GFF: annotation.gff	EW036_RS00385 — Rpn family recombination-promoting nuclease/putative transposase	58.99016901862999
RNA:GENE:EC_B36_GCF900622635:EW036_RS00390	EW036_RS00390	istA	IS21-like element IS21 family transposase		NZ_LR130545.1	67667	68839	+	reference GFF: annotation.gff	istA (EW036_RS00390) — IS21-like element IS21 family transposase	1.2288054094216476
