feature_id	gene_id	gene_name	gene_product	ortholog_or_alias	chrom	start	end	strand	annotation_source	display_label	YEAST-CENPK-LOWGROWTH
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_1	CENPK1137D_1		hypothetical protein	YML131W	CM001534.1	4717	5814	+	reference GFF: annotation.gff	YML131W (CENPK1137D_1) — hypothetical protein	865.9467203171172
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_2	CENPK1137D_2		Gtr1p	YML121W	CM001534.1	21445	22377	+	reference GFF: annotation.gff	YML121W (CENPK1137D_2) — Gtr1p	93.34128478596797
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_3	CENPK1137D_3		Rps17ap	YML024W	CM001534.1	220624	221219	+	reference GFF: annotation.gff	YML024W (CENPK1137D_3) — Rps17ap	597.8912852462144
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_4	CENPK1137D_4		Nse5p	YML023C	CM001534.1	221516	223186	-	reference GFF: annotation.gff	YML023C (CENPK1137D_4) — Nse5p	20.393588019352457
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_5	CENPK1137D_5		Apt1p	YML022W	CM001534.1	223459	224022	+	reference GFF: annotation.gff	YML022W (CENPK1137D_5) — Apt1p	182.01022856147583
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_6	CENPK1137D_6		Ung1p	YML021C	CM001534.1	224256	225335	-	reference GFF: annotation.gff	YML021C (CENPK1137D_6) — Ung1p	20.386361210612172
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_7	CENPK1137D_7		hypothetical protein	YML020W	CM001534.1	225671	227665	+	reference GFF: annotation.gff	YML020W (CENPK1137D_7) — hypothetical protein	24.462461878889833
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_8	CENPK1137D_8		Ost6p	YML019W	CM001534.1	227979	228977	+	reference GFF: annotation.gff	YML019W (CENPK1137D_8) — Ost6p	54.46657359075588
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_9	CENPK1137D_9		hypothetical protein	YML018C	CM001534.1	229292	230473	-	reference GFF: annotation.gff	YML018C (CENPK1137D_9) — hypothetical protein	58.72885589141404
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_10	CENPK1137D_10		Psp2p	YML017W	CM001534.1	231516	233252	+	reference GFF: annotation.gff	YML017W (CENPK1137D_10) — Psp2p	38.34931484125586
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_11	CENPK1137D_11		Ppz1p	YML016C	CM001534.1	234190	236268	-	reference GFF: annotation.gff	YML016C (CENPK1137D_11) — Ppz1p	56.66157140181726
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_12	CENPK1137D_12		Taf11p	YML015C	CM001534.1	236720	237760	-	reference GFF: annotation.gff	YML015C (CENPK1137D_12) — Taf11p	51.19136205899054
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_13	CENPK1137D_13		Ndi1p	YML120C	CM001534.1	22781	24322	-	reference GFF: annotation.gff	YML120C (CENPK1137D_13) — Ndi1p	248.73492834975767
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_14	CENPK1137D_14		Trm9p	YML014W	CM001534.1	237956	238795	+	reference GFF: annotation.gff	YML014W (CENPK1137D_14) — Trm9p	40.56867330992613
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_15	CENPK1137D_15		Ubx2p	YML013W	CM001534.1	238880	240634	+	reference GFF: annotation.gff	YML013W (CENPK1137D_15) — Ubx2p	84.78169228597557
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_16	CENPK1137D_16		Erv25p	YML012W	CM001534.1	240847	241482	+	reference GFF: annotation.gff	YML012W (CENPK1137D_16) — Erv25p	369.99738853823465
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_17	CENPK1137D_17		Rad33p	YML011C	CM001534.1	241626	242159	-	reference GFF: annotation.gff	YML011C (CENPK1137D_17) — Rad33p	43.85701123531109
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_18	CENPK1137D_18		Spt5p	YML010W	CM001534.1	242408	245599	+	reference GFF: annotation.gff	YML010W (CENPK1137D_18) — Spt5p	64.31940407811551
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_19	CENPK1137D_19		Mrpl39p	YML009C	CM001534.1	246035	246247	-	reference GFF: annotation.gff	YML009C (CENPK1137D_19) — Mrpl39p	211.3436710772713
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_20	CENPK1137D_20		Erg6p	YML008C	CM001534.1	246570	247721	-	reference GFF: annotation.gff	YML008C (CENPK1137D_20) — Erg6p	408.66051702244266
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_21	CENPK1137D_21		Yap1p	YML007W	CM001534.1	248579	250531	+	reference GFF: annotation.gff	YML007W (CENPK1137D_21) — Yap1p	175.6378156840202
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_22	CENPK1137D_22		Gis4p	YML006C	CM001534.1	250823	253147	-	reference GFF: annotation.gff	YML006C (CENPK1137D_22) — Gis4p	12.907871523859146
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_23	CENPK1137D_23		Trm12p	YML005W	CM001534.1	254952	256340	+	reference GFF: annotation.gff	YML005W (CENPK1137D_23) — Trm12p	28.572484628594577
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_24	CENPK1137D_24		hypothetical protein	YML119W	CM001534.1	25126	26199	+	reference GFF: annotation.gff	YML119W (CENPK1137D_24) — hypothetical protein	35.7775089815106
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_25	CENPK1137D_25		Glo1p	YML004C	CM001534.1	256436	257416	-	reference GFF: annotation.gff	YML004C (CENPK1137D_25) — Glo1p	422.141702716796
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_26	CENPK1137D_26		hypothetical protein	YML003W	CM001534.1	258214	259086	+	reference GFF: annotation.gff	YML003W (CENPK1137D_26) — hypothetical protein	9.959585488669942
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_27	CENPK1137D_27		hypothetical protein	YML002W	CM001534.1	259272	261485	+	reference GFF: annotation.gff	YML002W (CENPK1137D_27) — hypothetical protein	18.81233270017653
RNA:GENE:SC_CENPK_GCA000269885:CENPK1137D_28	CENPK1137D_28		Ypt7p	YML001W	CM001534.1	261977	262531	+	reference GFF: annotation.gff	YML001W (CENPK1137D_28) — Ypt7p	195.8269849461455
